modelo,parametro,valor,f1_train,f1_cv,recall_cv,gap
KNN,k=3,3.0,0.7125225550342836,0.6300818478683051,0.7734093186956623,0.08244070716597851
KNN,k=5,5.0,0.7063804501225581,0.6414641072335677,0.7728795966094058,0.0649163428889904
KNN,k=7,7.0,0.698572501878287,0.6542435644278503,0.7767593563775649,0.044328937450436756
KNN,k=9,9.0,0.6921507894538037,0.6616377552706721,0.779933027216434,0.03051303418313156
Árvore,max_depth=3,3.0,0.7235605672304801,0.7257059433420066,0.7374360767312309,-0.0021453761115264314
Árvore,max_depth=5,5.0,0.7912045144969838,0.7703760743822716,0.7388522947113256,0.020828440114712188
Árvore,max_depth=7,7.0,0.7920164148479761,0.7908221381311378,0.7307398860996511,0.0011942767168383606
Árvore,max_depth=None,,0.8008755825448383,0.6491568485487197,0.8130845550816183,0.15171873399611857
